id,Problem_tag_1,Problem_tag_2,Problem_tag_3,Problem_tag_4,Solved,Problem Rating
1931D,combinatorics,math,number theory,,x23600,1300
1931C,brute force,greedy,math,,x31667,1000
1931B,greedy,,,,x33834,800
1931A,brute force,strings,,,x38149,800
1930I,combinatorics,,,,x82,3500
1930H,constructive algorithms,dfs and similar,interactive,trees,x307,3300
1930G,data structures,dp,trees,,x458,3100
1930F,bitmasks,brute force,dfs and similar,,x811,2700
1930E,combinatorics,dp,math,,x1327,2400
1930D2,bitmasks,divide and conquer,dp,dsu,x2851,2100
1930D1,brute force,dp,greedy,strings,x4486,1800
1930C,binary search,constructive algorithms,data structures,greedy,x7669,1700
1930B,brute force,constructive algorithms,math,,x16667,1000
1930A,greedy,sortings,,,x19380,800
1929F,brute force,combinatorics,data structures,dfs and similar,x1960,2300
1929E,bitmasks,brute force,dfs and similar,dp,x1878,2300
1929D,combinatorics,dp,math,trees,x5245,1900
1929C,binary search,brute force,constructive algorithms,games,x16233,1400
1929B,constructive algorithms,greedy,math,,x26116,800
1929A,constructive algorithms,greedy,math,sortings,x33333,800
1928F,combinatorics,data structures,implementation,math,x292,2900
1928E,brute force,constructive algorithms,dp,graphs,x1922,2300
1928D,brute force,data structures,greedy,math,x4749,1900
1928C,brute force,math,number theory,,x9559,1600
1928B,binary search,greedy,sortings,two pointers,x19407,1200
1928A,geometry,math,,,x23683,800
1927G,data structures,dp,greedy,math,x1837,2300
1927F,data structures,dfs and similar,dsu,graphs,x4928,1900
1927E,constructive algorithms,math,two pointers,,x15797,1400
1927D,binary search,brute force,data structures,dp,x26249,1300
1927C,brute force,greedy,math,,x29884,1000
1927B,constructive algorithms,greedy,strings,,x35750,900
1927A,greedy,strings,,,x47259,800
1926G,dfs and similar,dp,flows,graphs,x4046,1900
1926F,bitmasks,brute force,dfs and similar,dp,x1892,2200
1926E,binary search,bitmasks,data structures,dp,x13551,1500
1926D,bitmasks,greedy,,,x17169,1300
1926C,dp,implementation,,,x29766,1200
1926B,geometry,implementation,,,x34630,800
1926A,implementation,,,,x54730,800
1925D,combinatorics,dp,math,probabilities,x4088,1900
1925B,brute force,greedy,math,number theory,x21594,1200
1925A,constructive algorithms,greedy,strings,,x30198,800
1924F,constructive algorithms,dp,interactive,ternary search,x183,3500
1924E,combinatorics,probabilities,,,x496,3100
1924D,combinatorics,dp,math,,x1167,2700
1924C,geometry,math,matrices,,x1258,2400
1924B,data structures,implementation,math,sortings,x2820,2100
1924A,constructive algorithms,dp,greedy,shortest paths,x15398,1500
1923F,binary search,brute force,greedy,hashing,x419,2800
1923E,data structures,dfs and similar,dp,dsu,x4441,2000
1923D,binary search,constructive algorithms,data structures,greedy,x7627,1800
1923C,constructive algorithms,greedy,,,x16984,1400
1923B,dp,greedy,implementation,,x18938,1100
1923A,greedy,implementation,,,x25638,800
1922F,dp,graph matchings,,,x1556,2500
1922E,bitmasks,constructive algorithms,divide and conquer,greedy,x8356,1800
1922D,brute force,data structures,dsu,implementation,x6247,1900
1922C,greedy,implementation,math,,x20258,1300
1922B,combinatorics,constructive algorithms,math,sortings,x22221,1200
1922A,constructive algorithms,implementation,strings,,x28063,800
1921G,brute force,data structures,divide and conquer,dp,x1341,2200
1921F,brute force,data structures,dp,implementation,x4328,1900
1921E,brute force,games,greedy,math,x10621,1600
1921D,data structures,greedy,sortings,two pointers,x22929,1100
1921C,greedy,math,,,x31051,900
1921B,greedy,implementation,,,x35079,800
1921A,greedy,math,,,x46346,800
1920F2,binary search,data structures,dsu,geometry,x581,3000
1920F1,binary search,brute force,data structures,dfs and similar,x1091,2500
1920E,combinatorics,dp,math,,x3051,2100
1920D,binary search,brute force,dsu,implementation,x6096,1900
1920C,brute force,math,number theory,,x16321,1600
1920B,games,greedy,math,sortings,x22139,1100
1920A,brute force,greedy,math,,x28731,800
1919H,interactive,trees,,,x163,2000
1919G,constructive algorithms,divide and conquer,games,trees,x196,3500
1919F2,data structures,dp,flows,greedy,x932,2800
1919F1,data structures,greedy,,,x2352,2300
1919E,combinatorics,constructive algorithms,dp,implementation,x938,2600
1919D,constructive algorithms,data structures,dsu,greedy,x4166,2100
1919C,data structures,dp,greedy,,x22889,1400
1919B,greedy,,,,x30829,800
1919A,games,math,,,x34951,800
1918G,constructive algorithms,math,,,x540,2700
1918F,dfs and similar,graphs,greedy,implementation,x991,2500
1918E,constructive algorithms,divide and conquer,implementation,interactive,,2200
1918D,binary search,data structures,dp,implementation,x5361,1900
1918C,bitmasks,greedy,implementation,math,x15392,1400
1918B,constructive algorithms,data structures,greedy,implementation,x25492,900
1918A,constructive algorithms,greedy,implementation,math,x31393,800
1917F,bitmasks,constructive algorithms,dp,trees,x1087,2500
1917E,constructive algorithms,math,,,x1508,2500
1917D,combinatorics,data structures,dp,implementation,x1948,2300
1917C,brute force,greedy,implementation,math,x11554,1600
1917B,brute force,combinatorics,data structures,dp,x27789,1100
1917A,constructive algorithms,math,,,x26538,800
1916H2,combinatorics,dp,math,matrices,x589,2700
1916H1,brute force,combinatorics,dp,math,x658,2700
1916G,divide and conquer,dp,number theory,trees,x168,3500
1916F,constructive algorithms,dfs and similar,graphs,greedy,x577,2900
1916E,data structures,dfs and similar,greedy,trees,x2430,2300
1916D,brute force,constructive algorithms,geometry,math,x9225,1700
1916C,constructive algorithms,games,greedy,implementation,x19076,1200
1916B,constructive algorithms,math,number theory,,x28867,1000
1916A,constructive algorithms,implementation,math,number theory,x27322,800
1915G,graphs,greedy,implementation,shortest paths,x7781,1800
1915F,data structures,divide and conquer,sortings,,x17281,1500
1915E,data structures,greedy,math,,x27151,1300
1915D,greedy,implementation,strings,,x32830,900
1915C,binary search,implementation,,,x48101,800
1915B,bitmasks,brute force,implementation,,x46294,800
1915A,bitmasks,implementation,,,x67636,800
1914G2,combinatorics,data structures,dfs and similar,dp,x1560,2300
1914G1,brute force,combinatorics,dfs and similar,dp,x2094,2100
1914F,dfs and similar,dp,graph matchings,greedy,x4573,1900
1.91E+05,games,greedy,sortings,,x13756,1400
1.91E+04,brute force,games,greedy,sortings,x13367,1400
1914D,brute force,dp,greedy,implementation,x28157,1200
1914C,greedy,math,,,x30006,1100
1914B,constructive algorithms,math,,,x31929,800
1914A,implementation,strings,,,x33414,800
1913F,binary search,data structures,hashing,string suffix structures,x491,2800
1913E,flows,graphs,,,x1168,2400
1913D,data structures,divide and conquer,dp,trees,x3557,2100
1913C,binary search,bitmasks,brute force,greedy,x16379,1300
1913B,strings,,,,x36271,1000
1913A,implementation,,,,x26242,800
1912L,strings,,,,x7676,800
1912K,bitmasks,combinatorics,dp,,x3182,1800
1912J,,,,,x663,2300
1912I,geometry,math,two pointers,,x61,3300
1912H,graphs,,,,x524,2400
1912G,data structures,,,,x542,2400
1912F,math,probabilities,,,x128,3100
1912E,constructive algorithms,implementation,math,,x1098,2200
1912D,math,,,,x1751,1900
1912C,constructive algorithms,,,,x59,3300
1912B,combinatorics,divide and conquer,math,,x1244,2100
1912A,data structures,implementation,sortings,,x2476,1900
1910J,*special problem,,,,x51,2900
1910I,*special problem,combinatorics,dp,,x54,2700
1910H,*special problem,binary search,data structures,,x101,2400
1910G,*special problem,greedy,,,x65,2700
1910F,*special problem,greedy,trees,,x196,2000
1910E,*special problem,dp,,,x212,2100
1910D,*special problem,greedy,,,x379,1800
1910C,*special problem,*special problem,implementation,implementation,x697,1600
1910B,*special problem,greedy,,,x756,1600
1910A,*special problem,implementation,,,x1886,1100
1909I,combinatorics,dp,fft,math,x136,1900
1909H,constructive algorithms,data structures,,,x95,3500
1909G,hashing,strings,,,x489,3000
1909F2,combinatorics,dp,math,,x1049,2500
1909F1,brute force,combinatorics,dp,math,x2003,2200
1909E,bitmasks,brute force,constructive algorithms,math,x1546,2400
1909D,greedy,math,number theory,,x4772,1900
1909C,constructive algorithms,data structures,dsu,greedy,x12321,1400
1909B,bitmasks,constructive algorithms,math,number theory,x22597,1200
1909A,implementation,math,,,x18402,800
1907G,brute force,constructive algorithms,dfs and similar,graphs,x2125,2200
1907F,greedy,sortings,,,x5450,1800
1907E,brute force,combinatorics,number theory,,x12576,1600
1907D,binary search,constructive algorithms,,,x17981,1400
1907C,constructive algorithms,greedy,math,strings,x21794,1200
1907B,data structures,implementation,strings,,x28054,1000
1907A,implementation,,,,x39303,800
1906M,greedy,math,,,x3120,1700
1906L,constructive algorithms,,,,x650,2500
1906K,divide and conquer,math,,,x366,2500
1906J,combinatorics,dp,,,x945,2100
1906I,graph matchings,,,,x192,2900
1906H,combinatorics,dp,,,x893,2200
1906G,games,number theory,,,x273,2900
1906F,data structures,sortings,,,x1388,2100
1906E,constructive algorithms,dp,,,x1881,1900
1906D,binary search,geometry,,,x141,2800
1906C,interactive,,,,x231,3000
1906B,bitmasks,constructive algorithms,hashing,,x682,2600
1906A,brute force,,,,x5308,1000
1905F,brute force,data structures,divide and conquer,,x601,2600
1905E,combinatorics,dfs and similar,dp,math,x1116,2400
1905D,data structures,implementation,math,two pointers,x4227,2000
1905C,greedy,strings,,,x13424,1400
1905B,greedy,trees,,,x17566,1100
1905A,constructive algorithms,math,,,x23741,800
1904F,data structures,dfs and similar,graphs,implementation,,2800
1904E,data structures,dfs and similar,graphs,implementation,x1131,2500
1904D2,constructive algorithms,data structures,divide and conquer,greedy,x5054,1800
1904D1,brute force,constructive algorithms,greedy,,x7743,1600
1904C,binary search,brute force,data structures,sortings,x17648,1400
1904B,binary search,dp,greedy,sortings,x20186,1100
1904A,brute force,implementation,,,x27848,900
1903F,2-sat,binary search,data structures,graphs,x751,2500
1903E,greedy,interactive,math,,x2294,2000
1903D2,bitmasks,divide and conquer,dp,greedy,x892,2500
1903D1,binary search,bitmasks,brute force,greedy,x6461,1700
1903C,constructive algorithms,greedy,,,x13446,1400
1903B,bitmasks,brute force,constructive algorithms,greedy,x13896,1200
1903A,brute force,greedy,sortings,,x49832,800
1902F,data structures,dfs and similar,divide and conquer,graphs,x1228,2400
1902E,data structures,strings,trees,,x4839,1900
1902D,binary search,data structures,dp,implementation,x4595,1900
1902C,brute force,constructive algorithms,greedy,math,x15326,1300
1902B,binary search,brute force,greedy,,x15531,1100
1902A,constructive algorithms,,,,x22334,800
1901F,binary search,geometry,two pointers,,x171,2900
1901E,dfs and similar,dp,graphs,greedy,x1722,2200
1901D,binary search,dp,greedy,implementation,x7764,1700
1901C,constructive algorithms,greedy,math,,x13280,1400
1901B,greedy,math,,,x15952,1100
1901A,greedy,math,,,x47846,800
1900F,binary search,data structures,implementation,,x321,2800
1900E,dfs and similar,dp,dsu,graphs,x2312,2100
1900D,bitmasks,brute force,dp,math,x4788,2000
1900C,dfs and similar,dp,trees,,x13258,1300
1900B,dp,math,,,x19134,900
1900A,constructive algorithms,greedy,implementation,strings,x41103,800
1899G,data structures,dfs and similar,dsu,shortest paths,x3612,1900
1899F,constructive algorithms,graphs,greedy,shortest paths,x8707,1600
1899E,greedy,implementation,sortings,,x17067,1300
1899D,hashing,math,number theory,,x14757,1300
1899C,dp,greedy,two pointers,,x26459,1100
1899B,brute force,implementation,number theory,,x25635,1100
1899A,games,math,number theory,,x63421,800
1898F,brute force,dfs and similar,divide and conquer,shortest paths,x866,2600
1898E,data structures,greedy,sortings,strings,x2484,2200
1898D,greedy,math,,,x5863,1900
1898C,constructive algorithms,,,,x6085,1700
1898B,greedy,math,,,x13309,1500
1898A,brute force,implementation,strings,,x16727,800
1896H2,brute force,dp,fft,math,x120,3500
1896H1,brute force,divide and conquer,dp,fft,x101,3400
1896G,constructive algorithms,implementation,interactive,sortings,x383,3200
1896F,constructive algorithms,greedy,implementation,math,x857,2600
1896E,data structures,sortings,,,x2412,2100
1896D,binary search,data structures,divide and conquer,math,x6388,1700
1896C,binary search,constructive algorithms,greedy,sortings,x10715,1400
1896B,greedy,strings,two pointers,,x16653,900
1896A,sortings,,,,x36346,800
1895G,binary search,data structures,dp,flows,x251,3100
1895F,combinatorics,dp,math,matrices,x866,2600
1895E,binary search,brute force,data structures,dfs and similar,x1716,2300
1895D,bitmasks,constructive algorithms,data structures,math,x6558,1900
1895C,brute force,dp,hashing,implementation,x12199,1400
1895B,greedy,math,sortings,,x21006,800
1895A,math,,,,x25215,800
1894B,constructive algorithms,,,,x17187,1000
1894A,implementation,strings,,,x19725,800
1893E,combinatorics,dfs and similar,dp,graphs,x213,3500
1893D,constructive algorithms,data structures,greedy,,x982,2600
1893C,brute force,greedy,implementation,,x2966,2000
1893B,constructive algorithms,greedy,sortings,two pointers,x10002,1700
1893A,brute force,dfs and similar,graphs,implementation,x13910,1400
1891F,data structures,dfs and similar,trees,,x4239,2000
1891E,brute force,greedy,implementation,math,x920,2500
1891D,binary search,brute force,math,,x4267,1900
1891C,binary search,constructive algorithms,greedy,sortings,x16277,1500
1891B,brute force,math,sortings,,x22280,1100
1891A,constructive algorithms,sortings,,,x19950,800
1890B,constructive algorithms,implementation,,,x18171,800
1890A,constructive algorithms,,,,x37909,800
1889F,data structures,dp,greedy,trees,x138,3500
1889E,dfs and similar,graphs,trees,,x133,3500
1889D,brute force,dfs and similar,graphs,implementation,x751,3000
1889C2,data structures,dp,,,x1098,2600
1889C1,brute force,data structures,dp,greedy,x3590,2000
1889B,constructive algorithms,greedy,math,sortings,x8071,1700
1889A,constructive algorithms,greedy,implementation,,x14420,1300
1887F,constructive algorithms,,,,x205,3400
1887E,binary search,constructive algorithms,graphs,interactive,x420,3100
1887D,binary search,data structures,divide and conquer,dsu,x1085,2700
1887C,binary search,brute force,constructive algorithms,data structures,x1996,2400
1887B,binary search,graphs,shortest paths,,x3425,1900
1886F,data structures,greedy,,,x228,3300
1886E,bitmasks,constructive algorithms,dp,greedy,x1651,2400
1886D,combinatorics,data structures,math,,x3844,2100
1886C,implementation,strings,,,x13583,1600
1886B,binary search,geometry,math,,x17145,1200
1886A,brute force,constructive algorithms,math,,x26852,800
1885A,*special problem,,,,,
1884E,greedy,implementation,math,,x351,2800
1884D,dp,math,number theory,,x3643,2100
1884C,brute force,data structures,dp,greedy,x6828,1700
1884B,binary search,greedy,math,two pointers,x13832,1100
1884A,brute force,greedy,math,,x18388,800
1883G2,binary search,greedy,sortings,two pointers,,1900
1883G1,binary search,greedy,two pointers,,x14499,1400
1883F,data structures,,,,x10857,1400
1883E,bitmasks,greedy,,,x9125,1700
1883D,data structures,greedy,,,x13200,1500
1883C,dp,math,,,x36379,1000
1883B,strings,,,,x42979,900
1883A,math,,,,x27406,800
1.88E+05,constructive algorithms,,,,x328,3100
1.88E+04,brute force,constructive algorithms,greedy,number theory,x1126,2400
1882D,bitmasks,dfs and similar,dp,greedy,x6158,1900
1882C,brute force,greedy,,,x13599,1500
1882B,bitmasks,brute force,constructive algorithms,greedy,x16579,1300
1882A,greedy,,,,x26594,800
1881G,binary search,data structures,,,x2629,2000
1881F,dfs and similar,dp,graphs,shortest paths,x8320,1700
1881E,dp,,,,x18295,1500
1881D,math,number theory,,,x21977,1300
1881C,brute force,implementation,,,x18366,1200
1881B,math,,,,x27125,900
1881A,brute force,strings,,,x41964,800
1879F,brute force,data structures,number theory,,x567,2800
1879E,brute force,constructive algorithms,dfs and similar,graphs,x1357,2400
1879D,bitmasks,combinatorics,divide and conquer,dp,x8628,1700
1879C,combinatorics,dp,greedy,,x21231,1300
1879B,constructive algorithms,greedy,,,x23864,900
1879A,greedy,,,,x23994,800
1878G,binary search,bitmasks,brute force,data structures,x1312,2300
1878F,brute force,math,number theory,,x4490,1900
1878E,binary search,bitmasks,data structures,greedy,x15867,1400
1878D,data structures,greedy,,,x9273,1600
1878C,math,,,,x42465,900
1878B,constructive algorithms,math,,,x32994,800
1878A,greedy,,,,x57103,800
1877C,math,number theory,,,x12072,1200
1877A,math,,,,x34095,800
1876G,binary search,brute force,data structures,greedy,x214,3500
1876F,binary search,graphs,,,x177,3500
1876E,constructive algorithms,data structures,dp,trees,x320,3300
1876D,combinatorics,dfs and similar,dsu,graphs,x957,2500
1876C,constructive algorithms,dfs and similar,graphs,greedy,x2519,2100
1876B,combinatorics,number theory,sortings,,x9309,1500
1876A,greedy,sortings,,,x24286,1000
1875D,dp,,,,x10200,1600
1875C,bitmasks,greedy,math,number theory,x12886,1400
1875A,brute force,greedy,,,x33619,900
1874G,dp,,,,x114,3500
1874F,dp,,,,x303,3500
1874E,dp,math,,,x396,3000
1874D,divide and conquer,dp,math,probabilities,x809,2800
1874C,dp,graphs,greedy,math,x1879,2300
1874B,bitmasks,brute force,dfs and similar,dp,x1258,2400
1874A,brute force,games,greedy,implementation,x18399,1200
1873H,dfs and similar,dsu,games,graphs,x8449,1700
1873G,constructive algorithms,greedy,,,x15152,1500
1873F,binary search,greedy,math,two pointers,x17864,1300
1873E,binary search,sortings,,,x33413,1100
1873D,greedy,implementation,two pointers,,x38890,800
1873C,implementation,math,,,x51677,800
1873B,brute force,greedy,math,,x55686,800
1873A,brute force,implementation,,,x62293,800
1872G,brute force,greedy,math,,x4662,2000
1872F,dfs and similar,dsu,graphs,implementation,x6983,1800
1872E,binary search,bitmasks,data structures,dp,x16803,1500
1872D,math,,,,x29985,1200
1872C,math,number theory,,,x25036,1100
1872B,greedy,implementation,,,x29401,900
1872A,brute force,greedy,math,,x41148,800
1870H,data structures,graphs,greedy,trees,x104,3500
1870G,data structures,,,,x253,3300
1870F,binary search,math,,,x523,2900
1870E,bitmasks,brute force,dp,shortest paths,x2664,2300
1870D,greedy,implementation,sortings,,x7548,1800
1870C,binary search,data structures,dp,implementation,x12374,1300
1870B,bitmasks,greedy,math,,x15186,1200
1870A,constructive algorithms,greedy,math,,x19723,800
1869B,geometry,math,shortest paths,sortings,x19669,1100
1869A,constructive algorithms,,,,x28651,900
1868F,data structures,greedy,implementation,,x83,3500
1868E,constructive algorithms,dp,greedy,,x101,3500
1868D,constructive algorithms,graphs,greedy,implementation,x316,3000
1868C,combinatorics,dp,implementation,math,x1273,2400
1868B2,bitmasks,constructive algorithms,dp,greedy,x2569,2100
1868B1,bitmasks,constructive algorithms,graphs,greedy,x7637,1700
1868A,constructive algorithms,implementation,,,x12864,1300
1867F,brute force,constructive algorithms,dfs and similar,greedy,x454,2700
1.87E+05,constructive algorithms,interactive,,,x3479,2200
1.87E+04,constructive algorithms,interactive,math,,x4060,2000
1867D,brute force,constructive algorithms,dfs and similar,graphs,x6412,1800
1867C,constructive algorithms,data structures,games,greedy,x12019,1300
1867B,bitmasks,constructive algorithms,strings,,x17881,1100
1867A,constructive algorithms,sortings,,,x20761,800
1866M,brute force,combinatorics,dp,math,x878,2400
1866L,binary search,brute force,math,,x801,2400
1866K,binary search,data structures,dp,geometry,x500,2500
1866J,dp,,,,x343,2800
1866I,dp,games,two pointers,,x844,2300
1866H,combinatorics,,,,x1767,2100
1866G,binary search,data structures,dp,flows,x1905,2100
1866F,binary search,data structures,sortings,,x146,3100
1866E,dp,,,,,2700
1866D,dp,greedy,,,x1456,2300
1866C,dfs and similar,dp,graphs,,x3219,1900
1866B,combinatorics,math,number theory,,x8417,1400
1866A,math,,,,x32913,800
1864I,graphs,greedy,,,x97,3500
1864H,dp,math,matrices,,x401,3200
1864G,combinatorics,constructive algorithms,implementation,,x295,3100
1864F,data structures,implementation,sortings,,x1551,2300
1864E,bitmasks,data structures,games,math,x2816,2100
1864D,brute force,constructive algorithms,data structures,dp,x7247,1700
1864C,bitmasks,constructive algorithms,math,number theory,x14483,1300
1864B,constructive algorithms,greedy,sortings,strings,x16017,1100
1864A,constructive algorithms,greedy,implementation,math,x20882,800
1863I,constructive algorithms,dp,trees,,x115,3500
1863H,dp,trees,,,x100,3500
1863G,combinatorics,dp,graphs,math,x721,2800
1863F,bitmasks,dp,math,,x1227,2600
1863E,brute force,dfs and similar,dp,graphs,x2953,2100
1863D,constructive algorithms,greedy,,,x10182,1400
1863C,implementation,math,,,x14861,1100
1863B,greedy,math,sortings,,x15981,1100
1863A,greedy,implementation,,,x18354,800
1862G,binary search,data structures,math,sortings,x3146,2000
1862F,binary search,bitmasks,brute force,dp,x6933,1800
1862E,constructive algorithms,data structures,greedy,,x11899,1600
1862D,binary search,combinatorics,constructive algorithms,math,x18642,1300
1862C,binary search,data structures,implementation,sortings,x22000,1100
1862B,constructive algorithms,,,,x40633,800
1862A,dp,greedy,implementation,strings,x34445,800
1861F,binary search,bitmasks,flows,greedy,x236,3200
1861E,combinatorics,dp,implementation,math,x1893,2300
1861D,dp,greedy,,,x7433,1800
1861C,data structures,dfs and similar,implementation,strings,x11308,1600
1861B,constructive algorithms,dp,greedy,,x22803,1000
1861A,constructive algorithms,math,,,x24937,800
1860F,data structures,geometry,implementation,math,x300,2900
1860E,data structures,dfs and similar,graphs,shortest paths,x1581,2400
1860D,dp,,,,x3257,2200
1860C,data structures,dp,games,greedy,x14564,1400
1860B,binary search,brute force,greedy,math,x18054,1200
1860A,constructive algorithms,strings,,,x22736,900
1859F,data structures,dfs and similar,divide and conquer,graphs,x433,3200
1859E,brute force,dp,math,,x1940,2500
1859D,binary search,data structures,dp,dsu,x7542,1800
1859C,brute force,dp,greedy,math,x17912,1200
1859B,constructive algorithms,greedy,math,sortings,x33532,1000
1859A,constructive algorithms,math,number theory,,x40649,800
1.86E+05,data structures,interactive,trees,,x1145,2600
1.86E+04,brute force,data structures,dfs and similar,trees,x1410,2500
1858D,brute force,data structures,dp,greedy,x3005,2200
1858C,constructive algorithms,greedy,math,number theory,x24429,1000
1858B,brute force,dp,greedy,math,x12233,1500
1858A,games,greedy,math,,x48784,800
1857G,combinatorics,divide and conquer,dsu,graphs,x4941,2000
1857F,binary search,data structures,math,,x13085,1600
1857E,math,sortings,,,x13860,1500
1857D,math,sortings,trees,,x23599,1300
1857C,greedy,sortings,,,x32489,1200
1857B,greedy,implementation,math,,x23902,1100
1857A,greedy,math,,,x59512,800
1.86E+05,bitmasks,dfs and similar,dp,fft,x1590,2700
1.86E+04,dfs and similar,dp,trees,,x5822,1800
1856D,divide and conquer,interactive,,,x3493,2100
1856C,binary search,brute force,data structures,dp,x14963,1600
1856B,implementation,math,,,x25928,900
1856A,implementation,,,,x27324,800
1855B,brute force,combinatorics,greedy,math,x33578,900
1855A,greedy,math,,,x28974,800
1854F,brute force,dp,,,x134,3500
1854E,brute force,constructive algorithms,dp,greedy,x480,3000
1854D,binary search,interactive,trees,,x594,3000
1854C,combinatorics,dp,math,probabilities,x1644,2500
1854B,bitmasks,brute force,dp,,x3841,2200
1854A2,constructive algorithms,math,,,x7416,1900
1854A1,constructive algorithms,math,,,x15121,1400
1853B,binary search,brute force,math,,x18578,1200
1853A,brute force,greedy,math,,x41037,800
1852F,data structures,dp,flows,,x137,3500
1852E,constructive algorithms,data structures,greedy,,x208,3400
1852D,constructive algorithms,dp,greedy,,x538,2800
1852C,data structures,dp,greedy,math,x1804,2400
1852B,constructive algorithms,graphs,greedy,math,x4968,1800
1852A,binary search,math,number theory,,x8620,1800
1851G,binary search,data structures,dsu,graphs,x3612,2000
1851F,bitmasks,greedy,math,strings,x6582,1800
1851E,dfs and similar,dp,graphs,sortings,x11890,1500
1851D,implementation,math,,,x16346,1300
1851C,greedy,,,,x24738,1000
1851B,greedy,sortings,two pointers,,x30806,800
1851A,brute force,constructive algorithms,math,,x30559,800
1850H,dfs and similar,dsu,graphs,greedy,x9124,1700
1850G,combinatorics,data structures,geometry,implementation,x14110,1500
1850F,brute force,implementation,math,number theory,x22117,1300
1850E,binary search,geometry,implementation,math,x28062,1100
1850D,brute force,greedy,implementation,sortings,x46343,900
1850C,implementation,strings,,,x49012,800
1850B,implementation,sortings,,,x46660,800
1850A,implementation,sortings,,,x64965,800
1849F,binary search,bitmasks,data structures,divide and conquer,x777,2700
1849E,binary search,data structures,divide and conquer,dp,,2300
1849D,constructive algorithms,greedy,two pointers,,x9416,1700
1849C,binary search,brute force,data structures,hashing,x11579,1600
1849B,greedy,math,sortings,,x33072,1000
1849A,implementation,math,,,x30948,800
1848F,binary search,bitmasks,combinatorics,divide and conquer,x1783,2400
1848E,brute force,implementation,math,number theory,x848,2600
1848D,binary search,brute force,math,ternary search,x2792,2200
1848C,math,number theory,,,x6788,1800
1848B,binary search,data structures,greedy,implementation,x18729,1200
1848A,games,math,,,x17764,900
1847F,binary search,bitmasks,data structures,dfs and similar,x959,2500
1847E,brute force,combinatorics,implementation,interactive,x348,2900
1847D,data structures,dsu,greedy,implementation,x4022,1900
1847C,bitmasks,brute force,dp,greedy,x13870,1400
1847B,bitmasks,greedy,two pointers,,x21225,1000
1847A,greedy,sortings,,,x22459,800
1846G,bitmasks,dp,graphs,greedy,x4881,1900
1846F,constructive algorithms,implementation,interactive,,x3436,1800
1.85E+05,binary search,brute force,implementation,math,x7694,1800
1.85E+04,brute force,implementation,math,,x20208,1300
1846D,constructive algorithms,geometry,math,,x21026,1200
1846C,constructive algorithms,data structures,dp,greedy,x20444,1200
1846B,brute force,implementation,strings,,x28006,800
1846A,implementation,math,,,x33590,800
1845F,dp,fft,math,number theory,x401,2800
1845E,dp,implementation,math,,x1451,2500
1845D,binary search,brute force,data structures,dp,x8465,1800
1845C,binary search,dp,greedy,strings,x15561,1400
1845B,geometry,implementation,math,,x22645,900
1845A,constructive algorithms,implementation,math,number theory,x34499,800
1844H,combinatorics,data structures,dp,dsu,x202,3400
1844G,bitmasks,constructive algorithms,data structures,dfs and similar,x1044,3000
1844F2,binary search,constructive algorithms,data structures,greedy,x442,2800
1844F1,brute force,constructive algorithms,greedy,math,x852,2600
1844E,2-sat,constructive algorithms,dfs and similar,dsu,x2025,2400
1844D,constructive algorithms,greedy,math,number theory,x13180,1400
1844C,dp,greedy,implementation,math,x16860,1300
1844B,constructive algorithms,math,,,x19236,1000
1844A,constructive algorithms,games,,,x25294,800
1843F2,data structures,dfs and similar,divide and conquer,dp,x1825,2300
1843F1,data structures,dfs and similar,dp,graphs,x5818,1800
1843E,binary search,brute force,data structures,two pointers,x14728,1600
1843D,combinatorics,dfs and similar,dp,math,x19717,1200
1843C,bitmasks,combinatorics,math,trees,x36553,800
1843B,greedy,math,two pointers,,x30513,800
1843A,greedy,sortings,two pointers,,x35844,800
1842I,divide and conquer,dp,greedy,,x155,3500
1842H,bitmasks,dp,graphs,math,x776,3000
1842G,combinatorics,dp,math,probabilities,x1236,2800
1842F,dfs and similar,greedy,shortest paths,sortings,x1512,2500
1842E,data structures,dp,geometry,greedy,x1745,2300
1842D,constructive algorithms,graphs,greedy,,x4372,1900
1842C,dp,,,,x14611,1500
1842B,bitmasks,greedy,math,,x20222,1100
1842A,games,math,,,x20391,800
1841F,geometry,sortings,two pointers,,x537,2700
1841E,data structures,greedy,math,,x2181,2200
1841D,data structures,greedy,sortings,two pointers,x4804,2000
1841C,brute force,dp,greedy,math,x8459,1800
1841B,implementation,,,,x22829,1000
1841A,constructive algorithms,games,,,x25419,800
1840G2,constructive algorithms,interactive,math,meet-in-the-middle,x1069,2500
1840G1,constructive algorithms,interactive,math,meet-in-the-middle,x2568,2200
1840F,brute force,dfs and similar,dp,graphs,x1968,2200
1840E,data structures,hashing,implementation,,x8779,1600
1840D,binary search,greedy,sortings,,x15113,1400
1840C,combinatorics,math,two pointers,,x35689,1000
1840B,bitmasks,combinatorics,math,,x23622,1100
1840A,implementation,strings,two pointers,,x36121,800
1839E,constructive algorithms,dfs and similar,dp,greedy,x1355,2400
1839D,data structures,dp,sortings,,x2518,2100
1839C,constructive algorithms,,,,x12801,1300
1839B,greedy,sortings,,,x15935,1100
1839A,greedy,implementation,math,,x17956,800
1838F,binary search,constructive algorithms,interactive,,x352,3000
1838E,combinatorics,dp,math,,x1628,2500
1838D,data structures,greedy,strings,,x3477,2100
1838C,constructive algorithms,math,number theory,,x15986,1400
1838B,constructive algorithms,math,,,x17144,1100
